Query_Index,Query,Field,Precision@1,Precision@2,Precision@3,Precision@4,Precision@5,Precision@6,Precision@7,Precision@8,Precision@9,Precision@10,Total_Retrieved,Total_Relevant,Error
1,Pyrotechnic composition formulation and color emission spectra,Pyrotechnics and Fireworks,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.7142857142857143,0.625,0.5555555555555556,0.5,10,5,
2,Firework shell design and aerial display performance,Pyrotechnics and Fireworks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,
3,Smoke generation and obscuration properties of pyrotechnic mixtures,Pyrotechnics and Fireworks,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7777777777777778,0.7,10,7,
4,Sparkler composition and burning behavior analysis,Pyrotechnics and Fireworks,1.0,1.0,0.6666666666666666,0.5,0.4,0.3333333333333333,0.2857142857142857,0.25,0.2222222222222222,0.2,10,2,
5,Pyrotechnic delay mechanisms and timing precision,Pyrotechnics and Fireworks,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,10,1,
6,Firework safety and hazard assessment protocols,Pyrotechnics and Fireworks,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.5714285714285714,0.5,0.4444444444444444,0.4,10,4,
7,Pyrotechnic material storage and transportation regulations,Pyrotechnics and Fireworks,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
8,Smoke bomb formulation and dispersal characteristics,Pyrotechnics and Fireworks,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,0.6666666666666666,0.6,10,6,
9,Firework launch system design and trajectory control,Pyrotechnics and Fireworks,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,10,1,
10,Pyrotechnic material compatibility and aging effects,Pyrotechnics and Fireworks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,
11,Detonation velocity and pressure measurements of high explosives,Explosive Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
12,Brisance and fragmentation effects of military explosives,Explosive Properties,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,0.6666666666666666,0.6,10,6,
13,Shock sensitivity and initiation mechanisms of primary explosives,Explosive Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
14,Explosive power and blast wave propagation in air,Explosive Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
15,Detonation temperature and reaction zone structure,Explosive Properties,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.5714285714285714,0.5,0.4444444444444444,0.4,10,4,
16,Explosive yield and energy release efficiency,Explosive Properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,
17,Detonation wave stability and failure diameter,Explosive Properties,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,10,1,
18,Explosive performance comparison using cylinder test,Explosive Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
19,Detonation products analysis and gas composition,Explosive Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
20,Explosive sensitivity to electrostatic discharge,Explosive Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8,10,8,
21,Burning rate and pressure exponent of solid propellants,Propellant Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
22,Specific impulse and thrust characteristics of rocket propellants,Propellant Properties,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,0.6666666666666666,0.6,10,6,
23,Propellant grain geometry and regression behavior,Propellant Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
24,Combustion efficiency and nozzle performance,Propellant Properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,
25,Propellant stability and aging characteristics,Propellant Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
26,Grain stress analysis and structural integrity,Propellant Properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,module 'fitz' has no attribute 'fitz'
27,Propellant ignition delay and flame spreading,Propellant Properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,module 'fitz' has no attribute 'fitz'
28,Combustion chamber pressure oscillations,Propellant Properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,
29,Propellant density and volumetric loading,Propellant Properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,module 'fitz' has no attribute 'fitz'
30,Thrust vectoring and control system performance,Propellant Properties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7777777777777778,0.7,10,7,
31,Drop weight impact sensitivity of energetic materials,Sensitivity and Safety,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
32,Friction sensitivity using BAM fallhammer apparatus,Sensitivity and Safety,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,0.6666666666666666,0.6,10,6,
33,Electrostatic discharge sensitivity measurements,Sensitivity and Safety,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.7142857142857143,0.625,0.5555555555555556,0.5,10,5,
34,Thermal stability and decomposition onset temperature,Sensitivity and Safety,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.7142857142857143,0.75,0.6666666666666666,0.6,10,6,
35,Sensitivity to mechanical shock and vibration,Sensitivity and Safety,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
36,Compatibility testing with materials and solvents,Sensitivity and Safety,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
37,Sensitivity to electromagnetic radiation,Sensitivity and Safety,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
38,Aging effects on sensitivity and performance,Sensitivity and Safety,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,0.6666666666666666,0.6,10,6,
39,Sensitivity correlation with molecular structure,Sensitivity and Safety,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
40,Safety assessment and hazard classification,Sensitivity and Safety,1.0,1.0,1.0,0.75,0.6,0.5,0.42857142857142855,0.375,0.3333333333333333,0.3,10,3,
41,Synthesis of high-nitrogen energetic compounds,Synthesis and Characterization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
42,Crystallization and polymorph control of explosives,Synthesis and Characterization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
43,Particle size distribution and morphology control,Synthesis and Characterization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
44,Coating and surface modification of energetic particles,Synthesis and Characterization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
45,Characterization using X-ray diffraction and spectroscopy,Synthesis and Characterization,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.875,0.8888888888888888,0.8,10,8,
46,Thermal analysis techniques for energetic materials,Synthesis and Characterization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.9,10,9,
47,Microscopy and imaging of explosive crystals,Synthesis and Characterization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,10,9,
48,Spectroscopic analysis of decomposition products,Synthesis and Characterization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
49,Mechanical properties and stress-strain behavior,Synthesis and Characterization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,module 'fitz' has no attribute 'fitz'
50,Surface area and porosity measurements,Synthesis and Characterization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,
51,Energetic material selection for specific applications,Performance and Applications,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
52,Performance optimization for military applications,Performance and Applications,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
53,Environmental impact and disposal considerations,Performance and Applications,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
54,Cost-effectiveness and manufacturing scalability,Performance and Applications,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
55,Regulatory compliance and safety standards,Performance and Applications,1.0,1.0,1.0,0.75,0.6,0.5,0.42857142857142855,0.375,0.3333333333333333,0.3,10,3,
56,Performance modeling and simulation approaches,Performance and Applications,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,module 'fitz' has no attribute 'fitz'
57,Field testing and validation procedures,Performance and Applications,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,10,1,
58,Performance degradation and shelf life,Performance and Applications,1.0,0.5,0.6666666666666666,0.5,0.4,0.3333333333333333,0.2857142857142857,0.25,0.2222222222222222,0.2,10,2,
59,Novel energetic formulations and composites,Performance and Applications,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8,10,8,
60,Performance comparison across different material classes,Performance and Applications,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,
